Kapampangan,English
Banlat,"Cage for pigs, or for loadingacow inabanca, oratrap for wild pigs, also called banlat having the same appearance, but hasatrap door"
Banli,Maneli
Banlic,"Sandbank or silt left behind byaflood, like rubbish, or sand"
Banglon,"Ses Lamo, more commonly used"
Banos,"Young shoots of the nipa (sasa), used as material for making palm-mats, palm-bags"
Bansag,"Title or surname, appellation, good or bad, by which somebody is called or named to tell who he is (identify) or where he was born, because the native ordinarily does not haveafamily name or surname, exceptafirstborn son, who is called Pun Pedro by his father; otherwise"
Bansana,A thing or work done in vain
Bansao,"Unfinished, done half-way, deficient, not well executed, like the work of the sanglay (a job, a task)"
Bantag,"Also, to do something whereuponathief who has come to burglarize in the night flees away because he was made to know that there are people who are awake inside the house, or when boys break in at an orchard to steal fruits, you giveashout to scare them away, or likealawyer intimidatingarascal"
Bantay,"Sentinel, being on guard"
Bantal,"To pry, to scrutinize, to espy"
Bantala,to do something in the manner of the devil; diabolical action
Bantilan,"Like Ati, the landing of the stairs"
Bantilao,"Half cooked, or, half roasted"
Banting,A thing that is given fraps
Banto,"To temper, like, hot with cold; strong wine with insipid wine; P"
Bantug,"Divulged, or, published"
Bantung,"D efective, Sabing mabantungbantung, rumors spreading quickly; pibantung-bantungda, they are saying all over, they say it everywhere"
Bantut,"Fetidness, strong stench"
Banua,"Sky, year"
Ban-Nua,"Alan caban-nua, rarely used: alan capara, no peer, peerless"
Ban?A,"Large narrow-mouthed pitcher; earthenware decanter, or shaker"
Bangay,Odor of excrement
Bangal,"A thing divided at the middle, likeabamboo, a stick, oralemon"
Ban?An,"Careless, negligent, like one who could gain something, but loses it to another due to negligence"
Ban?At,A trap used in hunting animals or fowl
Bangbang,"A ditch oratrench to drain water fromaplace, like the ricefield"
Bangcay,"A corpse, cadaver"
Bangcala,"The empty pod or shell, like, of cotton or kapok"
Bangcat,A small trap for catching fish
Bangcuang,"A bag made of large leaves, manufactured in the province of Laguna"
Bangciid,A curved bolo / knife used for cutting /harvesting sugar cane
Bangculala,B irdseyeview
Bangcuro,A bark used for dyeing things in red
Bangga,"To quarrel, to clash, to collide, like sea vessels or sea crafts"
Ban?Il,Tusk or canine tooth ofawild boar
Ban?Is,"Brave, Ma, neutral, manis, to become cruel brave or fierce"
Banglo,"Sweet scent, fragrance"
Bangnas,"Putrid, acrid, sour smell, smell of spoiled food or milk"
Bangsali,Inconsistent or inconsequent
Bangtay,"To putathing over and across another, and become placed, intransitive"
Bangtut,stench of stagnant water
Ban?Un,to raise up; to erect; to build up
Ban?Us,milkfish (bangus)
Bangyaga,"small-quantity merchandise (e.g. coconuts, betel nuts, betel leaves)"
Bapa,uncle; stepfather; respectful address for an older man
Baquis,large monkey species
Baquit,Why (adverb)
Barag,lizard; iguana
Barali,honey-based sauce for meat or fish
Baranggay,a spiny species of fish
Baril,firearm; musket; gun
Barit,a loose shirt or dress (not a fitted jacket)
Basa,wet; to read
Basac,to drip; to drop
Basal,tool or instrument used for a purpose
Basan,rags; old cloth; burlap
Bascal,antique necklace; dog collar
Basibas,"an object thrown or flung (stick, stone)"
Basig,large fattened pig
Ba?Lan,Defective verb
Basli,flute; piccolo; native wind instrument
Baso,to mime or rehearse a blow or action
Bastagan,frame for stretching cloth or a garment
Basul,stake used to mark the exact spot for other stakes
Bata,patient; one who suffers or endures
Batabat,fence or barrier blocking a passage
Batac,Batacan
Batag,wheat-like rice spikes that are edible
Batal,neck
Batala,a bird considered an omen or augury
Batalay,needlefish; hornfish
Batanglaua,spiderweb
Batao,one slowed down by a burden; to go slowly
Batas,to draw a conclusion; to infer upon reflection
Batbat,whip; lash
Batcal,Batcalan
Batea,round trough for washing clothes
Batiao,Batiauan
Batibut,small solid canes sprouting beside larger ones
Batic,dark spots appearing spontaneously on the skin
Batic-Cuas,Batic-cuasan
Bating,Mamatins
Batis,stream; brook
Bato,a singsong a mother makes while a child rides on her knees
Batobalani,lodestone; magnet
Batobato,turtle dove; ring dove
Batoc,hasty; in a hurry
Batug,sluggishness; weakness (as of a horse that will not respond to spurs)
Batuin,stars
Batulalan?An,shortsighted; can barely see at dusk or nightfall
Batulang,"Small net, bag- net, with which to carryawater trough or large earthen jar, etc"
Bauai,A long pole used asafishing rod
Baual,"Prohibited thing / forbidden thing; bongan baual, forbidden fuit"
Bauang,Garlic
Bauas,Bauasnan
Bauebaue,"A shrub that is well known and useful in medicine, especially against tapeworms, according to the Flora, page"
Baug,"A discolored ridge or swelling or bruise of the skin or weal caused byablow, not by whipping"
Baui,"To retract what was said, to recover what was lost"
Baul,"A thing manufactured inarough stage, likeabanca orawood carving, orasculpture not yet perfected"
Bauo,"Scent, or warm exhalation from the earth, good or bad"
Baut,Bautan
Becut,"To pull upwards, like, going up the stairs or pull out the banca from the river"
Belan,Defective root
Belatan,"Fake gold, alchemy, orathing badly plated"
Belita,Small bundles or stacks of harvested palay which are later carried away to formabigger stack
Benat,Relapse
Ben?I,The night
Benus,"Mabebenusnacoynaua, I am already running out of breath / lam already exasperated"
Betu,"A species of cane from whichastick, or arrow is made"
Biyai,"Ibiyai, biniyai, that with which one vivifies, maintains, or preserves life, and the one whose life is sustained, conserved, like, fish inapond, aquarium, fish pen, in the concept of the P"
Bia,A small white fish well known locally
Biabas,Guava tree and its fruits
Bias,"What comes between one joint and another joint, or the part between two nodes, like, the bamboo, or, sugarcane; Cabas, one such part; verb, umbias"
Biasa,accustomed; familiar; used to something
Biasbias,A medicinal plant
Bivi,A domesticated duck
Bical,A species of thin reeds
Bican,"The skull, cranium"
Bicang,"Ibicang, mamicans to divide, to break open the shells like, that of oysters, or to spread the legs apart"
Bicas,edge or seam of cloth; fabric border
Biclad,"Past, biniclad, the person caught by surprise"
Bicti,To choke or strangle another by squeezing around his neck with your hands or witharope / cord
Bicus,A bond coiled around to keep firm
Bidbid,"To tie around, coilingarope like tying the penitents to the crossbars they are carrying"
Bidso,"Almost, nearly"
Biga,cloud
Bigac,Synonym of abiac
Bigla,Defective root
Bigo,one who failed or missed the mark; the unfortunate or unlucky one
Big-Guas,That with which
Bijag,"To put in chains, to capture, a Tagalog word"
Bijira,Rare
Bilac,"Bilacbilac, to skip or jump with open legs, like, an immodest girl"
Bilad,"Athing exposed to the sun, or dry"
Bilang,"A tree, whose roots and sap are useful in painting and in medicine, according to the Flora, page"
Bilao,"Manilao, to deceive with an obvious thing"
Bilas,"In-laws, the spouses of two brothers or sisters"
Bilasa,"Rotten fish, decaying fish, and it may refer also to one that hasacertain disease as manifested by the paleness of its flesh or meat"
Bilbil,Flabbiness
Bilig,"Cloudiness of the eye; Biligan, one who has this white spot in the eye /eyes, and biliganan, the who becomes afflicted with this ailment of the eye"
Bilin,"Message, instruction, command, recom-mendation, testament, and its infinitive, Man?abilin"
Biling,"And neutral, past and future, and its infinitive, miling, to turn or be turned from one side to the other, or from top to bottom"
Bilis,"The speed of the the wind, not strong but stable"
Biluc,"Bilucbiluc, to wriggle, to glide likeasnake, likeaboat making turns throughawinding river"
Bilug,The roundness or entirety ofathing
Bilutug,Toasted rice or com kernels
Bina,Very
Binanao,"A small dart, once it pierces, it cannot be retrieved"
Bindong,"A thing that spins when thrown, like one that spins about when kicked or when cast by the hand, but it does not have to beaball"
Bini,"Seed in general; bibini, mibibini, to produce them or keep them for sowing"
Binit,Maminit
Binlit,Ibinlit
Bintal,Bintalan
Bintang,"Falsehood, or falsewitness"
Binti,"Courage, manliness"
Binticujul,"A species of small bananas, a Tagalog word"
Binting,Two silver reals
Bintol,A net used for catching crabs
Bin?Ao,"Notched, dented, likeaknife"
Bingbing,"Cabingbin?an, the place or port into which it is forced by the winds"
Bingcayo,"Lullaby, a song to lull babies to sleep"
Bingcas,"Past, Biningcas, what is broke open"
Bingcong,"Crooked or warped, likearod"
Bingculan,"The front edge ofatapis, alias Salucsucan, Opposite of salimpat"
Binglad,"Broken grains of rice, left after pounding"
Bingsal,"A thing wedged, like an implement or instrument"
Bingut,An infant (not yet baptized)
Binyag,From an unknown root
Bio,"Interjection, oraword for driving away birds"
Bioc,"Scar, including that on wood or stone"
Bic-Quia,"Those black fragments discharged by the sea, looking like liver"
Biray,A kind of boat
Birang,a tear or piece torn from cloth
Biri,cucumber seeds (white)
Biro,"A trick or joke in words, or in deeds"
Biruc,A kind of big boat / large ship
Bisa,"Defective verb, means to like"
Bisaclat,The legs
Bisala,"A kind of reed or cane growing on salty water, very similar to the sugar cane"
Bislac,"Parted or divided lengthwise, likeacane or bamboo or stick"
Bislug,A thing divided into big slices
Bis-Suang,Fissures or cracks in the feet
Bista,Although
Bitag,Trap for birds
Bitana,A net for fishing
Bitaog,"A tree of second class timber, popularly called, palo-maria"
Bitas,"A thing tom, likeacloth, or something opened, likeabreach in the 86 breakwater, or Watergate of the canal through which the water flows or released down the river; also, the one missing front teeth, and from this, bitasabalun?us, one who cannot keep secrets, or cannot keep his mouth shut, and says everything to everybody"
Bitasa,"Surely, like in ascertaining ifathing is already finished"
Bitauac,"Similar to bitas, but denotes greater extent or quantity, and this is said ofagrievous or mortal wound"
Bitbit,To carry hanging from the hand
Bitic,"A garter similar to thatof the dyed Bacay, bound around the legs to walk better; if you want to know more, ask / consult the Zambals"
Bitin,"A boa, (dumb snake), usuallyavery big one, so large, that coiling onabranch, they say it could seize and lift upadeer; from this derives the active verb and its infinitive, ibitin"
Bitis,leg; foot
Bito,"That part targeted byadog, a baril or spear inaa hunt"
Bitoca,"The intestines, or tripes"
Bitog,"(N.S sic.) Neutral verb, past, Minitog, and its infinitive, mitos, to coagulate like blood, or milk"
Biton?Ol,"Hairy worms, like those of dried fish, when it has spoiled"
Bitqui,"Migbitqui, to be bored or to despair due to sadness"
Bitquil,"Contrition, repentance, anguish of heart, heavy sorrow"
Bitsay,Sifter for rice
Biyuas,Little edible fruits
Buac,"Hair; verb, mamuac"
Buagan,"Acute condition, tight situation"
Bual,"Lump, clod, as of raw sugar or earth, or overboiled rice"
Buan?Ev,"Very fine sand, like the sand on the beach"
Buangis,"Tyrannical, fierce and savage, although not as much as ambuangan"
Buan?It,"A harsh person, of bad dispostion"
Buat,"A certain cloth embroidered in the loom, which is no longer in use; its design is inlaid and raised over the field / scope of the cloth"
Bubu,The clown or the comedian inastage play
Bubud,Ibubud
Bubug,"Crystal, glass"
Bubung,To make or put coverings on the roof
Bubut,"Green, likeafruit, that is, tiie fruit which is not yet mature or ripe, it is yetabud"
Bucadcad,Mamucadcad
Bucal,"Fountain, spring, from which water comes out in spurts or jets, as if it were boiling, bubbling, seething"
Bucalcal,Synonym of Bucadcad
Bucas,Tomorrow
Bucayo,"Conserve, preserve, jam"
Bucbuc,"Weevils in wood, or bamboo"
Buclat,Ibuclat
Buclud,"A strong fastening, like that ofascabbard, or ofacracked jar to preventafragment from falling out"
Bucocao,"Malignant abscess, tumour"
Bucsi,A large plane used for smoothing wood surfaces
Buctut,"Manga, many women becoming pregnant"
Bucu,"Node ofareed, or cane / bamboo"
Bucud,"Adverbwith genitive, singularly, particularly"
Bucul,"A cyst, or wart, outgrowth"
Bucungbucung,"Ankle, also known as malabulacos"
Bucut,"Hunchbacked, curved, humpbacked, crooked"
Budni,Transitive verb
Buga,A white and spongy stone
Bugal,A certain sickness in the female genitals
Bugo,Swelling of the eyes due to too much crying
Bugbug,Buebugan
Bugja,"Muga, ibusia, to expel, spew out the food or drink that is in the mouth, in disdain or vengeance as foolish people do, or out of resentment or to express displeasure among sensible ones; also the act of boys shooting calumbibit out of their mouths when they amuse themselves in the game carrying the name derived from calumbibit"
Bugnos,Ibusnos
Bugoc,"Rotten egg; verbal: said ofacock, or ofaman who is impotent"
Buggong,A bundle or hand of betel leaves or other leaves
Bugsuas,Sickness
Bugtu,"A thing broken or uprooted, like, a pitcher, or jug, whose handle or ear is left in the hand, oraplant that is pulled out, roots and all"
Bugtong,the only one; unique; a riddle
Bugus,pockmarks or scars from small sores
Buya,precarious structure; weak and likely to collapse
Buyagyag,crumbled; broken into pieces
Buyaid,soft and bulky but weak
Buyangyang,Buvanevanean
Buyao,"And its infinitive, buvaoan"
Buis,tribute; tax; rent payment
Buyun,tidal wave; deadly great waves
Buyut,Difficulty
Bula,bubble; foam
Bulac,cotton (plant and its fiber)
Bulaclac,flowers (in general)
Bulacus,fruits of the gugu vine (wacay)
Bulad,sound in general; any audible utterance by a person
Bulagsac,"Prodigal, w astrel, spendthrift"
Bulagta,"Magbulagta, to stretch, ot to lie down with the belly up and limbs spread, like, a drunkard, orabeast that falls asleep in this position, and also anybody or any beast, who lies prone outside the usual place for sleeping, or even inside such place, but outside the usual time for sleeping"
Bulay,a bean plant and its pods
Bulyao,"The shout of one who quarrels, or acclamations of victory"
Bulalacao,shooting star; meteor
Bulalag,To divulge
Bulalus,Spendthrift
Bulan,moon; month
Bulandal.,"A woman who leaves, or abandons her husband"
Bulang,To fell or knock downatree
Bulasisi,"Virilis membri caput, the elans of the penis"
Bulasuc,extremely violent; interior violence when lub is added
Bulati,"Worm, earthworm, or those in the body"
Bulaun,"Molave tree; Verb, mamulaun"
Bulbul,"Short hairs, plumes, fur of an animal"
Buldit,"Buttocks, anus, and by antonomasia, the bottom ofathing"
Buli,The polish or finish
Bulid,"Magbulid, one who throws down logs into the water to float them down the river"
Buliga,One measure of land / fields which is one braza or 36 square feet
Bulilit,a rat only a few days old
Buling,"Muling, to stain with blackening matter especially during the mardigras (three days before Ash Wednesday)"
Bulu,"Cane, or reed of bojo"
Bulubuc,Those little bubbles appearing on the surface of the water when one breathes under it
Bulubulu,A piece of node-to- node cane covered on top with stucco
Buluc,"Mabuluc, fetid"
Bulug,Buluen
Bulugan,The male of the four-footed animals
Bulundung,"A pile, a heap"
Bulung,"Aleaf, as of abook, a sword, oratree"
Bulus,"Flood, flash flood, or its breaking out"
Bulusuc,"Past, bilusuc, what is thrown in place"
Bulutung,Small pox
Bunbunan,the crown or top of the head
Bundalag,"Small fish or fingerlings, so called, in the sense that the puga, roes, fish eggs hatch into bundalag, and afterwards they turn into bundaqui, and into full grown, dalag"
Bundaqui,"To catch them, Pabundaquian, the place"
Bunduc,A high mountain
Bun?A,Fruit in general
Bun?Ad,"Ectival noun, sniffling, like one with nasal congestion"
Bun?Al,"Toothless, that is, one who lostatooth or so, and is also said of one with broken nails, hooves, like those ofahorse, bun?alya cucu, and of the spike that is pulled out"
Bun?An?A,"The mouth, only when referred to in disdain or anger"
Bungbung,"A short mantilla or head covering for women, (also called, it"
Bungcal,"The cover, or motive"
Bungcalo,Those little pieces of wood with which the cavan (beam) is made fixed
Bunggay,"Bunggue bunggay, or Mibunggue bunggay, to totter, or make unsure steps, like those ofadrunken man"
Bunggo,Mibunggo
Bun?I,"Toothless, lacking teeth, notched, hare-lipped, or withaclogged nose, oraplate, pitcher, jug with broken edges"
Bun?Il,A ferocious animal
Bun?It,Synonym of Bun?ut
Bungla,"It is used withanegation, Alanbungla, like, alantaros, alanpinto"
Bunglo,"Broken halfway or thereabouts, like the trunk ofatree, or bamboo during storms, or typhoons, orabroken neck, like one who falls down headlong"
Bungo,Plague
Bungso,"Strictly speaking, the youngest child, or the youngest among siblings, and from this, any little child, whom the speaker calls bungso, out of endearment"
Bungsod,"A ctive verb and its infinitive, ibunssod"
Bunsol,"Rashly, abruptly"
Bungton,"Heap, stack"
Bun?Ulan,a fragrant species of banana
Bun?Ut,"Growling, grumbling with the snout / pout"
Buni,Ringworm
Bunyi,"The celebrated, the applauded, the eminent, acclaimed"
Bunyag,Seldom used
Buno,Apen for catching fish
Bunut,coconut husk fiber; coir
Bunsa,"Suddenly, unexpectedly; bunsabunsa, frequentative, said of the blows ofastrong wind repeated in between some lulls"
Buntal,Ibuntal
Bunto,Buntuan
Buntoc,"Head, Mabuntuc, literally, a big-headed person"
Buntug,"To dash against the floor due to exhaustion or fatigue, like one who has carriedaburden throughalong distance with which he is overcome by fatigue, not finding the time to rest"
Buntot,"To grip with violence, like one seizing by the clothes, or the arms, one who tries to escape"
Buo,Half ofasmall coconut shell made intoacup for drinking
Burac,Deep mud in which one gets stuck
Burat,"Past tense, Birat, one who uncovers or go on manipulating the skin, or prepuce"
Buro,"A thing put in salt, cured in salt, like, fish, santol"
Burug,mangy; shedding hair or coat (as dogs do)
Burul,The deceased
Busa,"Toasted glutinous rice, the grains are puffed"
Busad,"Busadbusad, the gait or manner of walking ofapot-bellied man, orapregnant woman"
Busadsad,"Pot-bellied, or of great build/big facade"
Busal,"The eore ofatree, or the center ofathing"
Busbus,A hole
Buslu,"A basket made of bamboo or rattan strips, withanarrow mouth or opening"
Busngi,"Ibusngi, to open the door, the road, or the body; it may be expressed by the P"
Busuc,"Vapor of the soil, or of the body"
Busulan,It seems this is the beam or lintel of the door
Busung,"Swelling or cyst in the belly, like that of the dropsical, or that ofawoman who does not menstruate"
Butabuta,A tree veiy common along the seashores
Butacal,a large male monkey species
Butactac,to eat excessively; to overeat
Butad,inflated or swollen from cold; congested vein
Butang,foolish; stupid
Butas,to resolve; to deliberate; to determine
Butbut,Mutbut
Buti,shoots of the gandus plant
Butiti,poisonous pufferfish; its antidote is the evos paste
Buticas,rice plant about to bear grain spikes
Buticbutic,spotted or dotted objects
Butil,grain; seed; rosary bead
Butilao,very far away
Butiltil,amulet; intricately made trinket
Butingting,"to examine closely (pillows, beddings, hair)"
Buttit,calves of the legs
Butlig,pimples
Butngul,"knot in a string, rope, or cord"
Butu,penis
Butul,"A bone, oraseed"
Caba,food brought on a platter or basket (e.g. donated to a convent)
Cabag,sound of footsteps or hoofbeats passing by
Cabayian,large basket for provisions or supplies
Cabayangnan,prime of youth; robustness; youthfulness
Cabal,protective charm against being wounded
Caban,box or chest for storage
Cabasi,a type of fish; also a type of cloth weave
Cabat,door panel (not the doorway itself)
Cabaung,coffin
Cabcab,objects placed side by side
Cabeltun,fleshy inner part of banana trunk (used by children to wrap books)
Cab-Biyao,sugar mill
Cabibi,mussels; mussel shells used to produce lime
Cabid,a unit of cotton for spinning (four threads = one cauing; four cauings = one cabid)
Cabira,something of little importance or value
Cab-Bius,freeing oneself from required labor or obligation
Cab-Bla,to fail; to become faulty or defective
Cab-Bling,a tree with fragrant leaves
Cabocabo,stuffing material for cushions; also used as tinder
Cabu,pulse felt in the veins of the neck; vital movement
Cabug,sound of water when someone dives or swims into it
Cabud,at once; immediately; upon sight
Cabus,to finish; to complete; to use up entirely
Cabuti,mushroom; a type of fungus
Caca,older sibling (address used by younger siblings)
Cacas,Mansacas
Cacalbiling,a medicinal plant used against spasms or lockjaw
Cachumba,"a plant about three feet tall, used as a saffron substitute in dyeing"
Cadcad,to strip off; to peel away
Cagao,small insects causing itching or mange
Cai,Irregular verb of movement
Cait,"Transitive verb, to give sparingly, to live inafrugal manner, to be niggardly, to curtail, to lessen"
Caytana,Aknown tree
Caya,"Of doubt / wonder, or of choice"
Cayas,Mansavas
Cayat,"Man savat, to bite"
Cayli,"The left side, or the left hand"
Cayn?In,"Wide area of land or place cleared of trees, or any wild growth"
Cayocayo,"And micayocayo, the shaking of the shoulders by women of loose conduct, when they walk swaying their arms backwards as if on hinges, or are disjointed"
Cayud,Mansavud
Cayucut,Mansavucut
Cayumanggui,"Brownish, more brown {moreno) than fair-skinned"
Cayungcung,"To fold up or crumple down because of cold weather, also to warp, like leather or thin lumber when exposed to the sun; also said ofaherb calledpacayungcung"
Cayus,Smansavus
Cala,The shell ofatortoise / turtle
Calabcab,The blaze of fire
Calaboa,"A medicinal plant, used to treat gonorrhea, according to the Flora, page"
Calabucab,"A water snake, a non-venomous kind"
Calabit,"Mansalabit, to bind or fasten something hurriedly or loosely"
Calacal,Small sticks used in counting
Caladcad,A shovel used in heaping palay or garbage
Calad-Dua,Rational soul
Calagcag,Synonym of alaca
Calamba,"A large narrow mouthed pitcher, also known as Taboan"
Calambigas,"A gold figurine, rarely used"
Calambibit,"A well known plant, the seeds of which are used by boys in their games, and they are also used in medicine, according to the Flora, page"
Calamunding,"A tree belonging to the genus of citrus, of the species of lemons, whose fruits have pulps that are composed of segments similar to that of oranges, pomegranates, etc"
Calang,"A wedge used for tightening the posts / feet ofatable, chair, etc"
Calangcalan?An,"Small shellfish, or mussels, much smaller than the cabibi"
Calangan,Small railings
Calangdasal,"A thing used to wedge, spur; it could be of wood, like those used to wedge or spur the banca when it is stored in the shed: it could be of stones"
Calangcang,Something noisy tied toadogs tail
Calansag,"Man?alansag, the plates that fall off the shelf / plate stand, and they break into pieces"
Calansing,"Clang or sound of clashing swords, and of anything that produce such sound"
Calantas,"Fragrant wood, similar to tindalo, or even cedar, (pc"
Calantipay,Species of oysters
Calao,"To slacken, to loosen, not that it is tied, but that it is tight, likeadress, or an object that has wedges"
Calap,"Cuts of wood, bamboo, or rattan"
Calapayan,"A kind of bier with shafts made of bamboo, on which they carry the dead"
Calaputput,"Large strong root, trunk"
Calaro,"Used withanegation: Ecalaro, Virgin, ecalaro, chaste"
Calasag,"Round shield, cuirass, breastplate, and backplate, the armour"
Calascas,"Sound, like that ofasword being drawn from its scabbard, or that of machete when drawn against another inagame"
Calat,Manealat
Calatung,A timbrel made of bamboo
Calauang,"Rust of iron, or fatty substance on the surface of the water, or dross on the surface of teeth"
Calauat,Icalauat
Calauit,Icalauit
Calbit,"A signal, tapping withafinger or two, or giving the elbow"
Calcal,"Synonym of Calcay, to scratch up or stoke up"
Callat,A herb which bears fruit sim ilar to grapes
Calyat,a fruit resembling grapes
Calicam,incarnate; flesh-colored (rarely used)
Calicasuc,"thick, strongly scented smoke or vapor"
Calicubac,dandruff; scabby crust of the scalp
Caligag,dandruff; scabby head crust (synonym of calicubac)
Caligquig,chills; shivers from cold or fright
Calilip,overlapping; folded over
Calilin?O,arrogance; haughtiness
Caling,door bolt; crossbar latch
Calingad,a fragrant tree with cinnamon-scented bark
Caliqui,tickling sensation
Calis,sword or dagger
Calisip,rice plant at the stage just before blooming
Calisquis,fish scales; flakes on the shins or legs of fowl
Calit,"creaking or squeaking sound (bed, chair, dog paws on floor)"
Calius,"A common and well known tree; for its usefulness, see the Flora, page"
Calma,"Fate, luck, good or bad"
Calo,pulley; tackle (ropes and pulleys system)
Calluas,"Rattan casings, like that ofalarge porcelain jar"
Calubcub,A tree with this name
Calucabcab,"To become detached, like the meat of the coconut detached inside the shell, or the grain of the hazel nut"
Calucu,Flameof fire
Calucub,"A very low hut / cabin, and the roost of the denos, which is of similar make"
Calug,"To search, not for fruits, but in the manner of one who goes to the kitchen after having taken meals, to take whatever remains in the pots, or on the plates, and eat again"
Calulu,"Unfortunate, unhappy, distressed, destitute, miserable"
Calung,"Secundines, or secondines, the afterbirth"
Calumpang,A tree with first- class wood
Calucup,Mansalupcup
Calus,a strickle (flat tool for leveling grain in a measure)
Caluscus,"cracks, chinks, or fissures through which something falls into mud or water escapes to the fields"
Calut,Mansalut
Calutcut,"To look closely, to search for meticulously, or trace with utmost diligence"
Camacama,"Frequentative, and micamacama, become bewildered, stunned, panicky"
Camagui,A golden figure
Camang,"Brace, like, ofabox, to make it firm, a clamp"
Camansa,"A lean tree about nine feet tall, well known and pernicious, according to the Flora, page"
Camangian,"Kidney beans, string beans"
Caman-N?Ian,"A resinous substance similar to incense, frankincense; I am not sure if it is myrrh"
Camantigui,"A herb and its flowers, well known, in appearance; similar toarose"
Camayan?An,"Where the wind tends to blow easily, they say: camayan?aning an?in"
Camas,"Micamas, micamas, to flare up in anger, to lose patience, fly intoarage"
Camasa,"Ecamasa, unceasingly / without cease, relentlessly"
Camaso,"A tree well known, and useful in many ways according to the Flora, page"
Camauo,"The fist, the hand closed tightly"
Cambal,twins; two born together; paired fruits in one peel
Cambang,"A flower half-opened, orafruit about to come out from flower"
Cambing,A goat
Camcam,"A tree whose sap /tar causes pimples, itchings"
Camtan,To achieve
Campi,"A faction, party; partiality, guild, a society"
Campil,"A wrapper made of leaves of the palm, used in making suman"
Campit,"Aknife used in cutting up betel nuts, or paring offaquill"
Campo,"Mipacamp, being at ease, either sleeping, or seated"
Campul,"Micampul campul, like Micampil campil"
Campung,"Dominated, lorded over, be heaperson, or be italand"
Can,"Mangan, to eat, something that was no breathe, opposite of Masan, eat something that was alive, like, fish, meal"
Cana,Falsityof weights
Canao,"Alleviation, ease, widening of place or space"
Canaul,A known bird
Cancung,"A herb that grows and creeps on the water, good for the venison"
Canda,a fragrant yellow flower; a term of endearment
Canduli,A fish called by this name
Candung,Mansandims
Candut,"A little pinch, a small bit, or piece"
Can?Ay,"One invited toabanquet, or celebration"
Canlalamat,A venomous snake
Canlang,"A small drum, or timbrel"
Canlas,The incoming official
Canlong,"Place of safety, a guarded or defended place"
Cano,"Allegedly, to make allegations"
Cansao,"Cansao, little bars with which they putafence around their houses"
Cansong,Mansansons
Can-Nyao,To rinse by dipping it in the water
Canuan,The forehead
Canugtug,"A wild duck, withacrest like that ofacock; its meat is delicious to eat"
Capa,Mangapa
Capayan,"Opulence, affluence, wealth"
Capal,"Grossness, thickness"
Capapacanan,"M aqui quepapacanan, a thing that is useful; alan quepapacanan, it serves for nothing, from the point of view of the speaker"
Capatad,Brother
Capcap,Mansapcap
Capin,"Anything which is apart, which is not involved with other things; that has nothing to do with other things"
Capis,"Seashells, Verb, mamapis"
Capit,"Made of clay, or mud"
Capul,Capulan
Capuput,"A certain finish or form of finger rings, which are in vogue currently"
Carayom,"A needle, be itapointed bamboo stick"
Carampatan,"Medium, not big, nor small, not long, nor short"
Carang,"Awning ofabanca, a boat awning"
Caras,"M icaras, to make haste"
Carin,Adverbof place
Carit,A curved knife which is used by the manuba
Caro,"The poison taking effect, like the venom ofasnakebite reaching the heart"
Carug,"N eutral verb, the heart palpitating due to fright"
Caruru,A stick used in rolling tobacco
Carurun?An,"Magcarurm?an, one who treates or give deference toarespectable person"
Casa,False crystalline stones
Casacasa,"Of when, if, in case"
Casay,"Magcasay, reciprocal, to lie supine, stretched"
Casao,Movements of the fish on the surface of the water
Casat,"That which has wallowed in the dust, or mud"
Cascas,Friction
Casi,Friend
Casili,a diving bird similar to a cormorant
Casing,Synonym of Caling
Caso,"The shaking or wiggling ofathing that is badly wedged, aptly said of the braces ofacoach"
Caracata,Thousands upon/and thousands
Catag,"Catag catag, frequentative, also said of one trembling with fear, when shocked grievously"
Catay,"Past, Quinatay, what is done with sluggishness"
Catam,Carpenters plane
Catang,"C atngctang, or, micatngctang, to roll, or to gyrate what is struck, like, a ball"
Catat,"Mans atat, to skin, to flay"
Catauan,The body
Catcat,Mansatcat
Cati,"A unit of weight used in this land, which is 20 ounces; ten catis is one chinanta (about 15 av"
Catiban,"A mistake inadeal, in word or action"
Caticat,Mansaticat
Caticut,"To pierce, or bore with the point ofaknife"
Catig,"Those bamboos fastened to the sides ofaboat, like, the catigs of our bancas"
Cating,"Mecatingcating, said of that which is left dry, like the beach, or the fields for lack of water., or ofanarrow mouthed pitcher that used to be full of Pacatingcatin?an, water"
Catmon,A wild tree that bears orange-like fruits which are very sour
Catug,Man?atug
Catuyan?An,"Common noun, for parents-in law; the siblings and cousins of the parents-in law are also called, catuyan?an"
Catulunan,"A witch, hag"
Catung,"Catungcatung, one who is there alone forajob/task that needs to be done"
Catut,"Emicatut, said of one who could not move becauseof constriction or forcible detention"
Caua,A large carajay/ bronze pan
Cauad,A string wire
Cauay,"Past, Queuay, what is carried or waved thus, like clothes"
Cauayan,"The bamboo, or its species"
Caual,Maneaual
Cauala,"Magcauala, or migcauala, or, mipagcauala, to become divorced, or separated, like married couples, or illicit partners, also, friends"
Cauali,A small carajay
Cauan,"Withawoeful interjection, saidof an unfortunate incident, orof a misfortune"
Cauang,"A thing broken apart, like havingacrack, orajoint not well fitted"
Cauani,To separate from another
Caul,Mansaul
Caung,The dog barks
Cocao,to dip the hand into water to retrieve something at the bottom
Cauasa,"E cauasa, without ceasing"
Cauat,That with which
