Kapampangan,English
Dumalaga,"Said of the young female of some species, likeahen, which shortly will be laying eggs, and in this sense, it also refers to the young female carabao, cow, sheep etc, which will soon begin to have calves for the first time"
Dumalasan,Alternating
Duman,"The grainsof the glutinous rice nearing maturity, or about to mature"
Duru,"To allure with the merchandise, by displaying them before the public, by laying them out openly"
Duruc,Dumuruc
Durul,"A rule, or plummet, which used to beapiece of lead tied at the end ofastring"
Durun,The locust
Durup,"And its infinitive, durupan"
Durut,"To make turns, like in dancing, and also the whirling of water"
Dusa,Punishment
Dusdus,A certain disease on the scalp
Gabac,"A thing tom, ripped, like cloth"
Gabay,"Garret, awning outside the dingding of the house"
Gabi,"A broken object, likeabroken china jar"
Gabil,A ragged object
Gaboc,Porelain or china jar withacover/lid
Gab-Bon,"Meaning not only what we call lodo, mud, but also what we call tierra (soil, earth, ground), like what the plow turns up, or where they plant, or what they put in the flower pots: all these are Gab-bon"
Gacgac,"The croak, like that of frogs, bellowing of beasts"
Gag-Dia,Elephant
Gaga,"Fray, quarrel, angry reprimand, chirp ofabird, or howling of an animal, not as strong as gacgac"
Gagad,"The one who, that which, Guegad"
Gagto,He could hardly digest the subject of discussion
Gayac,Arrangement or preparationof things foratrip or departure
Galayan,"A species of bananas, that is smaller than the Tanduque"
Galal,"Ectival noun, what is given as an extra (tip) for work done byacarpenter, after having finished it and being paid for it, given in the form of food, or extra money"
Galamay,The legs of the crab
Galang,"honor; respect; reverence (as owed to God, parents, elders, or superiors)"
Galanggang,"N eutral verb, manzalanzzanz"
Galao,"Overactive, hyper active"
Galasgas,"Fluency in talking or reading aloud, fast talker/ fast reader"
Galatgat,"Galatgatan, mix colors with effect"
Galauc,To introduce/dig the hand intoanarrow hole/ the pocket to draw out something
Gamal,Mansamal
Gamat,hand
Gambul,"Cultivated land, loose soil, easily plowed, easy to turn up by plowing"
Gamgam,Clenched fist
Gamogamo,"Those insects, like small butterflies that go afluttering at sunrise"
Gampa,"The more commonly used is Migagampa, migampa, which means, to forge or to plan, or resolve interiorly the execution of something that comes along, or is the result of Sumpong, and is pleased with it"
Gamus,"A scratch caused by claws, like those ofacat"
Gamut,A herb used in witchcraft
Ganaca,"Latin, mens, mentis"
Ganap,"Exact, right, complete, perfect, just, full, faultless, accomplished, consummate"
Gangdang,A drum
Gandus,"An edible root crop, like coleworts/yams, Camotes"
Gan?,"Aptitude, inclination, disposition"
Gan?Ao,Spoiled/rancid wine or vinegar
Gangato,"A big spider, Bagua, these are found among tall grasses"
Gangsal,"An adjective, odd, contrary to Tupd, even"
Gapang,"Man?apar?, is said ofaman who crawls on all fours at night, like seekingawoman with whom he could commit sin"
Gapas,Cropped of hair
Gapgap,"To level, make even or flatten, or to cut something down to the roots withaknife to clear or level the land"
Gapi,"Said ofatree, some of whose branches have been lopped off"
Gapoc,"Brittle, like burnt sugar, or caramel"
Gapus,"Ligated, bound with rope or chains, tied hands, or feet"
Gadgad,to pass haltingly or very close to an object; to scrape along
Garil,the imperfect manner of speaking a language (like a child learning)
Garing,The bracket ofaship
Gasa,"The side, the bulk or the thin wall of bancas"
Gauay,"Manggagauay, to harm by witchcraft/ to bewitch, like doing it by casting out palay"
Gauang,Maneeauang
Gauc,Manauc
Gaud,Eumaud
Gauing,having one hand occupied or carrying something
Gato,"Spoiled thing, decaying, like wood rotting by dampness, or infiltration of water"
Gatus,"Half-destroyed/ almost broken, like strands ofarope, orabrach ofatree"
Gaua,"That with which, or for whom"
Guinday,"Guinde guinday, one clinging to the mapias for support"
Guinguing,Mansinu
Guinot,"To one who could not work due | to illness, they say, Baguia baguia"
Guipu,"Rotten at the bottom, 1 like, the postof a house"
Guipus,"Managuipus, what bumson 1 one side, likeapieceof wood, oracigar that is badly rolled"
Guiray,"N eu tral verb, fu tu re , gumiray, to strut, waddle"
Guiri,a cock courting or wooing a hen
Guisan,"And its infinitive, maneeuisan"
Gulapay,"To walk slowly with effort, due to the weakness of the body"
Gulat,"Dread, fright, horror, like one who says he has seenaghost/spectre, or the like"
Gugul,"Obstacle, impediment"
Gulis,"A stroke, line, mark, a flourish"
Gulmuc,"Gulmuc gulmuc, frequentative, Maca, become crouching"
Gulu,"Tangled, like hair, cotton thread, silk threads, etc"
Gulung,Manssuluns
Gulut,"Shoulders, back, opposite of Arap, front"
Gumamila,"A bush and its red flowers; good for bringing boils, or furuncles to term/maturity"
Gumbac,"Depressions, orahole inastack of palay, caused by taking out some bundles from it, oradepression caused byaplane on the surface ofapiece of wood/lumber"
Gumi,"Beard, or moustache"
Gumuc,"Magumuc, be inanook, or in the mire"
Guna,"Love potion, or love charm"
Ibay,"Maybay, meybay, to become giddy, or faint, become intoxicated for chewing betel nut"
Ibat,"Defective root, may serve as the preposition, of, from where, or the end from which, Ibatan, and this may also meanathing of usefulness, or importance"
Ibpa,"Father, and alsoaword of endearment"
Ibug,"Corporal desires or appetites, of the lower and sensual self"
Ilalid,"Future/frequentative, Ila ilalid, one who joinsasingle file, in order that he may be seen"
Ilang,one who has partially lost their mind; disoriented
Ilao,Light that is offensive or dazzling to the eyes
Ilap,"To look with fierce, or grim eyes"
Ilas,"To stay forafew days in anothers house, or leave things there for some time with the permission of the owner of the house, likeaset of tools, until the anloague returns, orto deposit them there with the consent of the homeowner to keep them safe"
Ilat,one who waits and watches for the return of a friend who may have forgotten them
Ili,"Laughter, and verb, Maili, to laugh"
Ilib,"A tall weed/grass, Cogon, in Tagalog"
Ilic,Manilic
Ilig,What/ which is reclined
Iling,"To expect, to wait for, like Hat"
Ilis,"A c tivev e rb , tocu t inslices , milis, th inne r than alab"
Ilit,to take a pledge from a debtor who will not pay; to keep the pledge
Ilug,river
Ilud,"A c tivev erb and its infin itiv e , milud"
Ilut,"N oun , M ass age , rub bin g , m idwife"
Imala,R oot M
Imalid,to rub or scrub oneself while bathing
Imbala,an adverb or interjection of threat
Imbut,covetousness; greediness; hoarding even worthless scraps
Imic,barely perceptible sound or movement
Imo,to think; to ponder
Imut,stinginess; miserliness
Ina,mother; intention or purpose
Inalay,a small herb that grows into the quiapo water plant when mature
Inang,to solder metals
Inata,a type of grass that grows underwater
Inaua,breath; respiration
Inauac,large silken veil or mantilla
Inda,mother (term of endearment)
Indac,traditional dance of women; dancing performed by women
Indayon,swing; hammock; hammock-style carriage
Indic,to bend the body slightly to one side
Indo,mother
Inim,"Amanuan de manemacaninim, although they scold him, he does not answer, or could not mumble, because"
Inlag,From which one withdraws
Inolonan,"The placenta, or afterbirth, from which the umbilical cord is cut; the midwives are always careful that the afterbirth comes out/ are all out"
Inum,to drink
Ingpis,thinness; leanness
Ingsil,to become out of order; disarranged
Ipay,measles
Ipan,teeth (including the teeth of tools or objects)
Ipas,cockroach
Ipus,something cared for with great attention
Iqui,tail; the trailing end of a skirt
Ira,to sleep over or pass the night somewhere unplanned
Iral,actual presence; personal attendance
Irang,syncopated form of iral; presence
Irao,the color blue; a cock with blackish and white feathers
Irap,eyelashes
Iri,The object
Irid,elegance; graceful bearing
Iris,complaint or moan from pain (e.g. burning oneself)
Irug,condiment or gravy that enhances the appetite
Isa,one; to handle things one by one
Iuad,Maniuad
Iui,Maniui
Yabyab,"To dip in water, likeapiece of cloth, to rinse it"
Yagang,"Enfeebled, grown feeble"
Yagyag,Maevas
Yagquin,"Lean, thin"
Yaya,"Yayaya, inaya, yum aya, manvava"
Yayam,"To steep, to soak again, like what they do to palay contained in sacks made of matting for bailing"
Yayat,"Thin, lean"
Yayul,Ivavul
Yama,"Macayayama, the cause of such pleasure"
Yaman,"Deliciousness, tastiness"
Yariari,Better
Yassiang,"And the regular, Sas-siang, siiang, suiang, to place/putapot on the hearth, or on the earthen stove (tricomered stove)"
Yata,"Of doubt, or conjecture"
Yatab,"A knife used in cutting stalks of grain, one after the other"
Yatyat,Ivatiat
Yato,"Mayato, meyato, said of what is left in liquid, like in an account, or inaharvest, or in cooking/boiling"
Yauad,"Abstract, begging, petition"
Yauil,"Yauilyauil, denotes something that lacks firmness, m aterially and formally"
Yauis,"Distressed, becoming thin, or weak due to pining for love"
Yaus,a call; an interior call; inspiration from within
Yayao,"Seeluad, with its variations"
Yoyo,"Said of nipa palms, which are close to producing tuba: (Consult with those who extract it), and is taken from the young leaves (shoots) of the sasa"
Yocyoc,"Past, inocyoc, or, icyoc, that which"
Yubing,an impoverished formerly rich person; one reduced from strength to helplessness
Yubyub,"And its infinitive, manubvub"
Yuco,"Yucuyucu, or miyucuyucu, to walk dejectedly, or bent/inclined, like an old man"
Yucub,"Bent, crooked"
Yuguing,"Describing one who, being known to be wise, had been rejected/repudiated, and thus lost his credibility/credit"
Yuyut,"Manamuyut, to inveigle with mischievous lies, or stratagem, in order that one may fall, materially or formally"
Yutyut,to pound or press something flat
Yutuc,"To twist, or bend, likeasword, orameasuring rod"
Yumi,"Said ofathing made of metal, like lead, copper, that softens and loses its shape"
Yumu,Sweetness
Yunat,Manunat
Yunut,"The thick end of cables, or the tree and its hemp, Buac tamping, abaca hemp"
Yungdo,"to nod the head (from old age, sleepiness, or feebleness)"
Yung-Go,Ivunsso
Yungyung,"Maca, being inclined/ bowed"
Yupi,"Dented, likeakettle"
Yupit,"Said ofawood, or piece of lumber that hasadefect, that is, not of equal thickness, not usable in manufacturing something"
Labi,"Labin metung, eleven, what is over ten, less than twenty, Neutral verb, Imaglabi, one who has over, or is over, like in accounts; to adjust or balance them, or to give more, rarely used"
Labis,"The edge, or border ofaskirt, that touches the floor"
Labni,"A species of rattan, thicker than the ordinary rattan; used for fastening or bundling, for lack of the ordinary rattan"
Labnut,"To pull out the hair, the feathers, to nip the tops of grass, to nibble, or to skin"
Labon,"Fragrant fumigation/ smoke, like that of burned incense"
Labong,"A sprout, a shoot ofabamboo"
Labsac,"To destroy, or squander, like in spending prodigally; also, to lay waste, to make desolate an open country, arable lands, or destroy cultivated fields"
Labsan,"Labsanlabsan, the things that are held in the hands throughout the day, be it the daily dress, or any other thing, like the apparel, or furnitures in daily use"
Labuad,"Upland, opposite of Dayat, lowlands, wetlands"
Labuc,to dive; to plunge headfirst into water
Labog,"Turbidity, like that of eyeglasses, or of dirty water, or of hazy vision"
Labuyan,"Malalabuyan, clothes somewhat worn out/used"
Labuyo,wild; untamed (of a cock living in the forest); fierce by nature
Lacbay,"I.Lacbayan, licbayan, the distance traveled, or itinerary passed through, like that from A rabia to Bethlehem, the Paglacbayan, destination, or the end, or purpose of the journey, or trip, like Bethlehem, to adore the Child Jesus"
Lacbang,"Pace, or step"
Lacdat,trail; a path or track
Lacdong,"Large step, long stride"
Laclac,"To drink facing downwards, likeadog, and also, nipping or snapping with the teeth, likeapig oracrocodile"
Laco,Merchandise which has more deceptive aspects than substance; more apparent than real
Lacsa,Ten thousand
Lactao,"And its infinitive, manlactao"
Lac-Cuay,"Malac-cuay, marayo"
Lacuan,Irregular passive
Lacuas,"More, much"
Lacusut,"And Maglacusut, to rub the body against, or cast it on the floor, when one is inabad mood to comply with what is commanded of him"
Laga,"To cook, in general"
Lagad,"Sparseness, rareness, even of species, manner of doing anything, or badly woven (texture), or their scarcity"
Lagadgad,"N eutral verb , to tinkle / sou ndb ydragg ingthee n d /tipof apo lebe ingc arr iedb ehinda ndtouc h ingtheg roun d"
Lagay,"N eutral verb , fu tu re , Lagay, and that"
Lagan?An,crucible for gold; brazier for silver; forge for iron
Lagapac,loud crash or crackle of something falling; burst of laughter
Lagari,"N oun , a saw"
Lagas,"A d jectiv e , a th ingfa lle n , like a tooth , astepo f thes ta irs , a leaf"
Lagat,Stewed/sauted
Lagaua,"Shortly, swiftly"
Lagda,"Design, sketch - rarely used"
Laglag,"One who is cast away, or is left in this manner"
Lagmac,"Distinct from lagpac, which means the crashing sound of any falling part of an object; lagmac means the fall of the whole, likeadilapidated house, not the falling of one room, but the fall of the whole"
Lago,"Tenderness, softness, likeagreen fruit, or the shoot ofaplant"
Lagolo,S lightlydiffe rent fro m Galogo
Lagpac,to crash or fall with a loud noise
Lagpus,loosened; coming undone from being badly tied
Lag-Guac,"putrefaction ready to dissipate or break out, like in an abscess or tumor"
Laguac,rumbling of the intestines from gas
Lag-Guay,"N oun , leng than d stre tc h"
Lag-Guio,name; appellation; what something is called
Laguit,slime; slippery film on a surface
Laguitic,to creak or squeak (as a bed)
Laguc,"N eutral ver ban d Laguclaguc, tosip /sap them uco u s , likew hat child rena reus edtodo in g"
Laguntac,"NeutralverbandM icalaguntac, saidof therain thatkeepsonpou ringhard"
Lagusao,to bubble up noisily (as a crocodile or fish surfacing on the water)
Lagusgus,noise made by running through thickets
Lagutuc,"N eutral verb , laeutuc"
Laya,"N oun , G inge r"
Layac,"Refuse, sweepings, garbage"
Layag,"The sail, sea voyage"
Layas,"Pusang layas, stray cat, damulagalayas, stray carabao, like a Moor without the Lord; which means extremely free, not knowingafixed place (wild)"
Layo,"A thing well cooked on the outside, but rare in the inside"
Laid,Lairan
Latyi,"A point, like that ofaknife"
Lain,Leaves or stems of the gandus (gabi/yam)
Layog,"High, towering, like the palm trees, a tower"
Layon,"And going ahead, proceeding further, besides this, or that"
Laiypan,A centipede
Lala,"A woven object, likeapalm-mat"
Lalab,To spend prodigally
Lalat,"Scarcely, hardly able, with difficulty, with effort"
Lali,Manlali
Lalic,"Lathe wheel, the work ataspinning wheel"
Lalip,excess in general; surplus
Lalo,// Regular
Lamac,A gift brought fromalong trip
Lamas,A thing that is incorporated/intimately united to another
Lamat,"A crack, break, rent, like inaflagstone"
Lambac,to beat or strike with a flat object
Lambay,"The length, like thatof a measuring rod"
Lambal,"The thread for sewing silk, or cotton"
Lambang,"Split bamboo, or stick on which the Salauay of the roofing i? encased; no longer used"
Lamban?An,"Rice dispenser, the receptacle/ vessel intended for putting in it the cleaned rice destined to be used for cooking"
Lambat,Duration of time
Lambilambi,"The colored wattles ofacock, or the loose fold of skins hanging under the throat of an ox"
Lambing,"And its frequentative, or Passive , that which is let hanging in this manner, lambing, clinging with lam bing endearment"
Lambis,"Or, Calambisan, the caress and cajoling ofachild"
Lambo,"Lankiness, leanness"
Lambuyuc,"The hollow, or rounded indention/curve, or concavity made byahammock, a pouch, oramoneybag"
Lambut,"Softness, and with lub, formal or moral softness"
Lamiran,Mountain cat
Lamlam,"Malamlamapilubluban, cold, tepid, without fervor"
Lamo,"Bamboo raft, used in crossing the river, or to ride on along the river, or to transport the rice seedlings"
Lamoc,"Little pieces of coins, like the sicaualos, in contrast to the pesos"
Lamococ,Inner rind of the luyos fruit (betel nut)
Lamod,Bruised/pounded object
Lamon,"Land that has plenty of water, and grows grass"
Lamos,Rub with what
Lampa,Weakness (physical and moral)
Lampacan,A vessel with water so ants could not climb up
Lampay,A bowl larger than the sulyao
Lampan,Cooked fish
Lampin,"Diapers, swaddling cloth"
Lamuyung,"Little fruits; they are medicinal, and red in color"
Lanat,Withered
Landa,"A shaft, like that ofalance: gaud"
Landang,Indisposition of the body
Landi,"Immodesty, debauchery, (opposite of Datnd), impudence ofawoman"
Landoc,"Maca, the jawbone is more protruding below"
Lanic,Manlanic
Lanubo,a new shoot growing from an uprooted tree or a cut stump
Lanoc,"Lanoclanoc, frequentative"
Lansag,"To throw by flinging, like plates by smashing them"
Lansan?An,S treet
Lanta,S yno nym oflanat
Lantang,to spread flat; to lay something open
Lantic,"N oun , thea rchin g , opp ositeof Yucub"
Lantong,"A d jectiv e , a th ingb adly salted , that exh ude sab adsm ell, lik e, bum"
Lan?Ab,to wade into water
Lan?Alang,to lay something flat on the floor
Lan?Ao,"N oun , a fly"
Lan?As,a grating sound as something is caught between the teeth (like a grain of sand)
Langcay,"Langcayan, noun, a kind of bier, or litter whereon they carry the dead, oraload of earth"
Langcap,"And its infinitive, manlanscap"
Langcuas,"A root crop, like ginger, pungent root"
Langcul,Manlanscul
Langcum,Manlanscum
Lang-Gan?An,"The head ofalance, just that"
Lang-Guc,"Tender shoots, or tips of the creeping plant, like that of squash, camote, cangcong and other climbing/ creeping plants"
Lan?I,dryness; dried out by the sun or wind
Lan?Ib,"Scab on wounds, or crust onawound, or ulcer"
Lan?Is,"Sesame, the plant and its seeds"
Lan?Itn?It,"The sound made byaquill over the paper, ot by tearing of paper, or thin silk"
Langnis,"Burning of overcooked, or scorched rice, milk etc"
Lan?Olango,"A toilet, or privy, porters lodge"
Langpad,Synonym of Laganap
Langpao,Manlanspao
Langpus,"What is complete, like work, or debts, which are completely paid for"
Lan?Ubn?Ub,"The sound of the teeth, chewing something hard, like, vizcocho, caramelo"
Lan?Usn?Us,"Sound of the teeth ofabeast when it eats grains of palay, with the same variations as lan?ubn?ub"
Lan?Ut,"Past, Len?ut, wha t isch ewe d"
Lan?Utn?Ut,gnashing or gritting of teeth
Langtad,"SynonymofLan gpad, laganap : M elang taran , m elan gparanmalaganapan, onewhound ertakes toomanyth ingsato netimeanda ttendsto thema llandexped itesth em"
Langtut,"N oun , S mellof acridwater"
Lapac,"to sound like the heels of shoes, clogs, or horseshoes on the ground"
Lapad,width (opposite of narrow)
Lapang,"A d jectiv e , rootsclump edtoon ean o ther, lik e, S a ffro n , Gandus, g inger ("
Lapao,surplus; overflow; excess
Lapas,to pass through; to pass beyond
Lapat,"N oun , thefitof woo d , thejo in t, thea d justmen t"
Lapi,"A c tivev erb and itsin f in itiv e , lumapi, m anlapi, tobr eak / tear sma llbranc hes"
Lapiting,to approach; to come near to
Lapiris,"N oun , a finep inch bytw istin g"
Lapis,"Said ofapiece taken fromachunk/log: each piece is lapis, and the log itself that is made into pieces, the tree it was taken from, is lapis"
Lapit,"Nearness, proximity, and that of Mi, to become close to, near to"
Lapitpit,"That sound which accompanies an involuntary evacuation, or the sound made with the lips to simulate that sound"
Laplap,"That with which, and for whom/for what"
Lapnit,"The outer part of the bamboo, with some of the part, cut into long strips used for fastenting/bundling"
Lapnus,"Manianm??, to flay something, by first passing it over ther flames"
Lapso,Manlapso
Lap-Puac,"Past, Lip-puacan, the place, from which it overflows"
Laput,"Quagmire, slough, deep miry place, softness, due to having more water than mud"
Laquit,Things that are joined well
Lara,"Pepper, chili"
Laray,"The ruddiness, or colorof health, evident on the face or appearance; also the color or blush that appears on the face because of fear, shame/ embarrassment"
Lasac,"variegated feathers (white, red, and mixed colors)"
Lasao,"A djective, dissolved, liquefied, melted, properly and metaphorically, Active verb and its infinitive, lumasao, manlasao"
Lasi,"Tom into small pieces, a thing divided /cut by its sections, like an orange, cut into its slices, oracurtain cut by its seams"
Lasing,Drunkenness
Lasip,"Wild, fierce, like abuli, lion, tiger, and that witch who eats people according to their belief, or what they believe"
Laslas,The instrument
Laso,Blisters (fever blisters) inside the mouth
Lasoc,"A thing blackened by smoke, likeachimney, and is said of food that is smoked, or withasmokey taste"
Lason,"Poison, or toxin that is put inadrink or in food"
Lasona,"Onion, Mi, to grow/find them"
Lasut,"A slippery object, having been rubbed with oil"
Latac,"Sound, like that ofaleak, drip, or falling grain"
Latay,"Raised welts, marks of flogging byawhip, or the stroke ofarope"
Latang,Dry sticks or trunk
Lauo,The darkening of the moon in an eclipse
Lauis,a sign or mark along the way used to find the right path on return
Lauit,"The sickle, or scythe"
Laun,"Old crop, like palay, or tobacco, that is not the crop of the current year"
Laus,"Said ofahole, or fissure that passes from one side to the other"
Laut,"Gulf, deep sea"
Lelay,"Margin, border, edge, river bank, shore, foot of the mountain"
Libad,"A man dancing withawoman, dancing aroundawoman"
Libadbad,"The turning up of the stomach, which could cause nausea"
Libag,"Vacant, vain, empty, hollow, likeafruit withashell/husk, or any other object"
Libay,The thing given in exchange for something
Liban,The space/length of time that passes regarding the matter one is talking about
Liban?Ao,"An insect that does damage to the palay, or infects the air with its stench"
Libasbas,The swooping sound ofabird in its flight
Libato,An edible herb that is well known
Libi,"Lust, lasciviousness, lewdness"
Libis,"The edge, not like Lelay which is the border of any part, even ofaroom which is joined to its wall; Ubis is the edge, like tibi as in the edge ofatable, a window, etc"
Libo,"Lightness, celerity, agility of the body"
Ligaya,"Delight, in general"
Ligalig,"Anxiety, interior restlessness"
Ligamgam,"Maligamgam, lukewarm"
Ligao,"To look for, to search, to seek, said of going fishing, because one who goes fishing is looking for fish, seeking fish"
Ligatgat,Maligatgat
Liglig,"And its infinitive, manliglis"
Lili,"To miss something, to realize that one is short of something, become short of something"
Lilip,"Thehemattheendor edge, like thatofthe salual"
Liliua,"Forgetful, short of memory, and talacalilo"
Liloc,"A work out, a design, or embroidery, no matter how trivial it may be/ commonplace it may be"
Limadmad,"Humidity, wetness, moisture, like that ofacloth, paper"
Limayon,Like Maligon
Limama,Nausea
Liman,"Man?aliman, men?aliman, like pamita"
Limas,Bailing out water fromaboat
Limatac,"Leech, on dry land; smaller than the ordinary water leech"
Limbad,"Limbaran, what reconnoitered"
Limbag,"And its infinitive, manlimbaz"
Limbayong,"Nude, half body downwards"
Limbang,"Calimban?an, diversion/ entertainment"
Limbatao,One who forgets due to being busy
L?Mbon,Procession
Limid,"Compactness, or compression, likeabundle or package, and is said ofabook, and of the letter very close to another, or dense"
Limoc,"Malimoclimoc, is said ofastout child and fat child, oraniddy, youthful healthy dala?a"
Limpad,"Synonym of Limbad, with its variations"
Limpay,"2 what is being waved , or swung by the wind"
Limpat,"Past, Linimpat, the"
Limpi,"Also an active verb and its infinitive, ilimvi"
Limputan,Silence of the night
Linab,smoothness and gloss of a burnished object
Linamnam,sensory pleasantness; deliciousness
Linang,beautiful complexion or appearance of a woman face
Linao,"clarity of water, eyes, glass, or weather"
Linatnat,smoothness
Lindayog,Synonym of Limpay
Lindas,Runabout course
Linis,"Cleanness, material, and formal"
Linlin,Manlinlin
Lino,"A root used for dyeing, dark red in color"
Linoac,"Flabby fat on the body ofaman, or ofapig"
Linsan?An,Sultry weather/ suffocating heat
Linta,leech; bloodsucker
Lintag,something shaken or startled
Lintic,light drizzle; raining in very small drops
Lintug,blisters from scalding; blisters on the lips
Lin?A,"Lingalin?a, and Mi, milin?alin?a, frequentative, said of one who walks staring with suspicion, or fear"
Lin?Ad,That which
Lin?Ay,To do homage to
Lin?Al,"Lin?al lin?al, and Mi, frequentative"
Lin?Ao,forgetful; like an old person who cannot recall recent events
Lin?Ap,dull; slow-witted (similar to a tonto)
Lin?Apn?Ap,tickle; titillation
Lin?Asn?As,trouble; headache; confusion
Lin?At,light sleeper; easily awakened
Lingco,Synonym of Lico
Lincud,"N eutral verb and its frequentative, linecud-linecud"
Ling-Gaso,And its infinitive
Linggang,M elinzsans
Lingguit,Moulding
Linglang,"Past, Lininglang, with which he is diverted, and also one diverted in this manner"
Lin?O,"Maglilingo, to commit treason/ betrayal, that is to act treacherously, like an assassin, or ambusher, and also likealilo"
Lingon,"Care, which one providesafavored one"
Lin?Os,"Turn ones face upon to see, gaze, behold"
Lingsad,"Maca, being deviated"
Linyo,tingling pain in the teeth
Liyo,vertigo; dizziness; swirling in the head
Lipac,corn or callus on the hands or feet
Lipang,"Lipanglipang, and Mi, frequentative"
Lipao,"Lipaoyang tauo, said of one who does not know from whence he comes, nor where he is"
Liparac,"N eutral verb, and its infinitive, to kick or stomp, like in dancing, or one suffering hydrophobia"
Lipas,"Linipas ne sicanan, his strength is gone, or has waned"
Lipasay,strong wriggle (as of a fish caught in a net)
Lipato,spark or flash of fire
Lipatpat,firefly; glow-worm
Lipya,the iron plate on a plow that turns the soil
Liping,"sudden faint or swooning from hunger, causing cold sweat"
Lipit,pressed tightly; constricted
Liplip,"Is said of banana leaves that are placed as padding inapot so that the rice would not be burned/ toasted, in the sense"
Lipogdong,Chubby
Lipul,"And its infinitive, manlipul"
Lipun?A,"Itches on the legs, caused by overexposure to walking through water"
Lipuro,"And its infinitive, manlipuro"
Liput,"Magliput, of intent"
Liputo,Chubbiness
Lipsong,"Lipsong lipsong and Mi, frequentative"
Liquid,"To remove the stairs, so no one could go up the house"
Liquit,"Said of those who are crowding, like those who forcibly pass throughavery narrow door"
L?San,"To let go, leave out, to skip by jumping / passing over the other"
Lisang,"Lisang lisang, the many things dislocated thus"
Lisia,That which
Lisic,"Small spark, like of iron or steel that is red hot, or being welded, or sparks that fly fromacandle, or from an oil-lamp"
Lislis,"And its infinitive, manlislis, to pull up"
Lisu,"And its infinitive, manlis"
Lisud,"Lisuran, to whom"
Litab,"The sparkling glow which is left by grease, or oil, rubbed on an object, or anointed with it"
Litang,"Awning, or vent, or smoke stack overafireplace, or kitchen"
Litid,The string ofabow
Lilitid,"The nerve above the claw, and in beasts, the tendon/sinew that providesanode/knot at their hind legs"
Liuag,"Delay, due to difficulties that are involved in making an object"
Liualas,"Width, wideness, opposite of Quiput, narrowness"
Liuas,"Means to alternate, either be it with another, like with another in carryingaburden, or in standing guard over the house, or in changing clothes"
Liuat,"And its infinitive, manliuat"
Lolao,That which
Luay,"A d jectiv e , a th ingo bstructingtheth roat/eso pha gus"
Lual,the wash area at the back or outside of a house
Luali,"the state of the tide when it is neither rising nor falling, just before it turns"
Lualo,"M anglualo, etc"
Luasay,"Neutralverbanditsinfin itive , tobu bbleup , mak inga noiseon thewater, likefishes , crocodiles , etc"
Luat,lasting; abiding; enduring
Luba,Broken palay
Lubac,"Looseness, as ofaknot, oraraiment/shirt/dress"
Lubad,"Fatness of the belly: which the thin, or lean person does not have"
Lubag,"Frequentative, lubaglubag, said ofaloose thing that is not stretched, likealining; an allowance"
Lubao,"Past, Libao, what is drawn out, like the wick of an oil-lamp"
Lubas,Nude / naked
Lucluc,The thing sat upon; P
Lucman,A Chinese orange
Lucsu,to jump; to leap
Lucto,"Lucio lucio, to make intervals, not like Lactao, which speaks of what is by-passed, or overlooked; lucio is now here, then yonder"
Luctun,young locust not yet able to fly
Lucub,"Idiomatically, to cover, or to shelter"
Lucung,"Hollow, concave"
Lucup,earwax
Lugao,"Rice gruel, rice paste"
Luglug,"And its infinitive, manluslus"
Lugus,"Luguslugus, said of one who grits the teeth; or grate, by chewing / masticating, like grains of sand"
Luid,"Conservation, prolongation"
Luyung,The hardy palm tree
Luyus,A species of palm tree
Lula,Of short vision
Lulam,Dense dark clouds
Lulan,A thing placed / pu into something in order to be carried
Lulu,To race with another
Lulud,The shin
Lulun,"And its infinitive, manlulun"
Lulung,"And frequentative, that which, Mipalulung, mipalulunglulung, as in mipalaut, with intensity"
Lulut,"O f Ca, Calulutan"
Luma,"(hot be confused with the Tagalos, luma), it is said of what had lost much of its force, like, heat, wine, wind"
Lumun,"Calumunan, the peak of ripeness"
Lumut,"The green slime (moss) that appear on stones due to humidity, or onapiece of wood left in the water"
Lumpi,"Neutral, the bright color caused/ left by buyo, betel leaf"
Lumpu,"An impaired/ stunted object, like an animal, oraplant"
Lumpung,Lumpunz
Lunac,"Lunaclunc, become softened"
Lunay,"Lunelunay, frequentative, describing the feebleness of suchaperson"
Lunas,a small wild bitter bush (lunas bunduc) said to be an antidote to poison
Lunday,"Neutral adjective, that little banca that is carried, fastened to the side of ships"
Ludasay,The place in which / wherein
Luntay,sluggishness in speaking; slow speech
Lunto,"Intransitive verb, to repeat the act"
Lupa,"More commonly understood, the face"
Lupacaya,"Said ofafellow who does not have any strength, because he had stayed indoors too long, he grows lazy, or cowardly"
Lupad,said of a bird that is stupefied or maltreated; one passed through too many hands
Lupas,"The flaying or peeling of the skin, or hide"
Lupasay,Lipasavan
Lupi,"Maglup, or, manlupi, to change the skin, likeasnake, or some insects"
Lupig,"Tyrannized, oppressed, persecuted"
Luping,a hat with a sagging brim from age or wear
Lusub,"And its infinitive, manlusub, to pierce through, as withapointed stick, or witharapier"
Lusuc,"More, greatly"
Lusung,That which; P
Lutac,"And its infinitive, manlutac"
Lutad,"Toaboy who plays the role ofawoman, they would say, Ilutad mopa, that he make his voice sound more effim inate"
Lutang,"Or, Ipalutang, ipalutanslutam"
Lutas,"And its infinitive, manlutas"
Luti,"That inner white bark, produced by logs and is less compact than suchalog"
